Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-04-09,1035.61,1041.05,1028.78,1029.07,6.539999999999964,-12.269999999999982,0,999.7620000000001,975.4666000000001,1
NIFTY 50,1996-04-10,1030.57,1035.79,1027.07,1029.28,1.2899999999999636,-8.720000000000027,0,1006.976,979.6784,0
NIFTY 50,1996-04-11,1024.37,1026.52,1022.31,1025.18,-0.8100000000001728,-4.210000000000036,0,1012.077,983.8836,1
NIFTY 50,1996-04-12,1023.84,1033.17,1023.84,1032.19,-8.350000000000023,-9.330000000000041,0,1015.5640000000001,987.9097999999999,1
NIFTY 50,1996-04-15,1038.03,1050.48,1038.03,1046.45,-8.420000000000073,-12.450000000000045,0,1021.6790000000001,991.9073999999999,1
NIFTY 50,1996-04-16,1046.8,1060.85,1046.8,1058.71,-11.910000000000082,-14.049999999999955,0,1028.0700000000002,996.1132000000001,1
NIFTY 50,1996-04-17,1067.93,1096.28,1067.93,1096.28,-28.34999999999991,-28.34999999999991,0,1037.3700000000001,1000.648,1
NIFTY 50,1996-04-18,1107.76,1124.93,1107.76,1121.68,-13.920000000000073,-17.170000000000073,0,1048.191,1004.7154,1
NIFTY 50,1996-04-19,1124.3,1142.26,1124.3,1131.74,-7.440000000000055,-17.960000000000036,0,1060.2710000000002,1008.4886,0
NIFTY 50,1996-04-22,1136.28,1136.28,1102.83,1106.93,29.34999999999991,-33.450000000000045,0,1067.7510000000002,1012.113,0
NIFTY 50,1996-04-23,1090.04,1100.51,1090.04,1095.82,-5.779999999999973,-10.470000000000027,0,1074.426,1015.3890000000001,1
NIFTY 50,1996-04-24,1136.97,1145.11,1126.77,1145.11,-8.139999999999873,-18.339999999999918,0,1086.009,1018.6858,0
NIFTY 50,1996-04-25,1157.94,1160.16,1110.61,1120.82,37.12000000000012,-49.55000000000018,0,1095.5729999999999,1020.4418000000001,1
NIFTY 50,1996-04-26,1133.17,1133.17,1106.29,1123.63,9.539999999999964,-26.88000000000011,0,1104.717,1022.5441999999999,0
NIFTY 50,1996-04-29,1112.7,1118.69,1107.51,1118.37,-5.669999999999845,-11.180000000000064,0,1111.909,1024.3644,0
NIFTY 50,1996-04-30,1118.1,1118.23,1112.44,1114.36,3.740000000000009,-5.789999999999964,0,1117.474,1025.6118000000001,1
NIFTY 50,1996-05-01,1141.65,1141.65,1133.92,1137.86,3.790000000000191,-7.730000000000018,0,1121.632,1027.4442000000001,0
NIFTY 50,1996-05-02,1131.96,1132.05,1123.15,1132.05,-0.08999999999991815,-8.899999999999864,0,1122.6689999999999,1029.6236,0
NIFTY 50,1996-05-03,1126.08,1127.99,1119.34,1119.48,6.599999999999909,-8.650000000000091,0,1121.4429999999998,1031.5855999999999,0
NIFTY 50,1996-05-06,1108.0,1108.0,1087.86,1088.22,19.779999999999973,-20.1400000000001,0,1119.5720000000001,1033.3474,1
NIFTY 50,1996-05-07,1086.66,1094.97,1086.66,1093.09,-6.429999999999836,-8.309999999999945,0,1119.2989999999998,1034.711,1
NIFTY 50,1996-05-08,1082.78,1113.62,1075.94,1108.53,-25.75,-37.679999999999836,0,1115.641,1036.3048,0
